time_log,キャプチャ時間,書き出し処理時間,画像処理時間,モータ制御開始から終了,1ループ
0,13.7223,1.39078,0.600162,16.1426,32.0474
32,13.2101,0.794841,0.5729,16.8906,32.3811
64,29.2939,0.784857,0.573284,16.846,32.0229
112,13.1851,0.73302,0.568292,16.9409,48.026
144,13.1805,0.880468,0.578659,16.7181,31.956
176,13.3406,0.669663,0.622817,16.783,31.8961
208,13.3441,0.678878,0.630497,16.8368,31.9941
240,13.2942,0.660447,0.680414,16.8571,31.9887
272,13.2696,0.659295,0.567524,16.9865,31.9987
304,13.3011,0.663135,0.569444,16.9405,31.9937
336,13.3468,0.650848,0.579427,16.881,31.9871
368,13.3606,0.638944,0.572516,16.9316,31.9937
400,13.3241,0.882004,0.572516,16.7285,32.0129
432,29.3423,0.751067,0.57098,16.8817,31.9795
480,13.4501,0.720732,0.564068,16.7335,48.0088
512,13.2604,0.696541,0.567524,16.9716,31.9987
544,13.3153,0.746459,0.57098,16.8667,31.9906
576,13.4128,0.679262,0.56138,16.8671,32.009
608,13.3744,0.678878,0.571748,16.8019,32.0075
640,13.3249,0.691934,0.567524,16.9232,32.0163
672,13.3706,0.667359,0.572132,16.7681,32.0006
704,13.4032,0.704605,0.573668,16.7842,31.8954
736,13.4866,0.709981,0.570212,16.7112,31.9856
768,13.4962,0.845142,0.577891,16.631,31.991
800,29.3911,0.848982,0.571364,16.578,32.0728
848,13.4869,0.88354,0.572132,16.4904,47.9035
880,13.4409,0.7311,0.558692,16.6314,31.9921
912,13.6102,0.700765,0.567908,16.6736,31.89
944,13.5392,0.713053,0.736091,16.477,32.0497
976,13.4693,0.68387,0.559844,16.727,31.9856
1007,13.621,0.777561,0.590179,16.5335,31.9223
1039,13.6663,0.746075,0.5729,16.5288,32.0014
1071,13.6064,0.703837,0.561764,16.6644,31.9898
1103,13.6025,0.720348,0.563684,16.6402,32.0206
1135,29.6015,0.745691,0.72918,16.449,31.9914
1184,13.5215,0.732636,0.713437,16.4793,48.018
1215,13.6087,0.987215,0.573284,16.3084,31.9779
1247,13.654,0.763738,0.568292,16.5684,32.0067
1280,13.6098,0.707677,0.559844,16.5047,32.0171
1311,13.753,0.756826,0.560228,16.4954,31.8474
1343,13.7507,0.778329,0.560612,16.4209,32.0179
1375,13.9512,0.697309,0.55562,16.3077,31.9706
1407,13.9016,0.704989,0.562916,16.3545,32.0133
1439,14.5291,0.706909,0.608994,16.6552,31.9845
1472,12.871,0.726876,0.567908,17.3609,32.9962
1504,28.6926,0.703069,0.579427,16.5607,32.0033
1551,13.7185,0.678878,0.5633,16.5745,47
1583,13.7097,0.691934,0.55946,16.6222,31.9937
1615,13.5922,0.815575,0.565988,16.4939,32.0524
1647,14.0149,0.785241,0.603618,16.1664,31.9745
1679,13.7123,0.705757,0.554468,16.4163,32.0298
1711,13.8863,0.800216,0.554468,16.3188,31.8336
1743,13.8095,0.685022,0.592099,16.4463,31.9952
1775,13.9489,0.707293,0.56714,16.2758,31.9964
1807,13.9074,0.722268,0.5633,16.3307,31.9898
1839,13.7857,0.711901,0.557156,16.4179,32.0179
1871,29.7501,0.699613,0.559076,16.5695,31.963
1919,13.8087,0.756442,0.744923,16.1337,48.0333
1951,13.8487,0.742235,0.558692,16.4144,31.9967
1983,13.8103,0.733404,0.55754,16.3948,32.0344
2015,13.7849,0.875477,0.564068,16.2697,31.9664
2047,13.9615,0.810584,0.557924,16.2036,31.9741
2079,13.8179,0.730716,0.555236,16.2946,32.0382
2111,13.869,0.786393,0.560996,16.2731,31.8758
2143,14.0537,0.656607,0.579811,16.2758,31.9825
2175,14.038,0.728028,0.55754,16.1353,32.0186
2207,14.1497,0.749531,0.564068,16.0327,31.9518
2239,29.9793,0.701533,0.55754,16.3058,32.004
2287,14.0813,0.724572,0.561764,16.1022,48.0149
2319,13.9086,0.75529,0.559076,16.3073,32.001
2351,13.8863,0.690014,0.556004,16.3726,31.991
2383,13.9024,0.67619,0.554468,16.3756,32.0006
2415,13.8917,0.821335,0.672735,16.1433,31.9956
2447,13.8928,0.744539,0.562532,16.2124,32.0117
2479,14.1631,0.754907,0.609762,15.9936,31.8835
2511,14.1174,0.758746,0.620513,15.9959,32.0378
2543,14.1931,0.701917,0.582115,16.0155,31.9507
