time[ms],x,y,arc,pos
1,0,13,0,0
9,0,13,0,0
9,0,28,0,0
17,0,28,0,0
17,0,42,0,0
25,0,42,0,0
25,0,55,0,0
33,0,55,0,0
34,0,68,0,0
42,0,81,0,0
50,0,93,0,0
58,0,105,0,0
66,0,117,0,0
74,0,129,0,0
82,0,141,0,0
90,0,152,0,0
98,0,162,0,0
106,0,174,0,0
114,0,185,0,0
122,0,197,0,0
130,0,208,0,0
138,0,221,0,0
146,0,232,0,0
154,0,245,0,0
162,0,258,0,0
170,0,270,0,0
178,0,282,0,0
186,0,294,0,0
194,2,307,0,0
202,2,318,0,0
210,2,331,0,0
218,2,342,0,0
226,2,353,0,0
234,5,368,0,0
242,7,381,0,0
250,7,395,0,0
258,7,407,0,0
265,7,416,0,0
273,7,416,0,0
273,7,428,0,0
281,7,428,0,0
282,7,441,0,0
290,7,454,0,0
298,7,468,0,0
306,7,481,0,0
314,7,494,0,0
322,7,507,0,0
330,7,520,0,0
338,7,535,0,0
346,8,548,0,0
354,8,562,0,0
362,8,576,0,0
370,8,588,0,0
378,8,602,0,0
386,8,616,0,0
394,8,628,0,0
402,8,642,0,0
410,8,656,0,0
418,8,671,0,0
426,8,685,0,0
434,8,698,0,0
442,8,711,0,0
450,8,725,0,0
458,8,738,0,0
466,8,752,0,0
474,8,765,0,0
482,8,777,0,0
490,8,791,0,0
498,8,802,0,0
506,8,815,0,0
514,8,827,0,0
522,8,838,0,0
530,8,851,0,0
538,8,862,0,0
546,9,874,0,0
554,9,886,0,0
562,9,898,0,0
570,9,908,0,0
578,9,921,0,0
586,9,933,0,0
594,9,945,0,0
602,9,958,0,0
610,9,970,0,0
618,9,982,0,0
626,9,996,0,0
634,9,1007,0,0
642,13,1022,0,0
650,14,1035,0,0
658,14,1047,0,0
666,14,1059,0,0
674,14,1070,0,0
682,14,1082,0,0
690,14,1096,0,0
698,14,1108,0,0
706,14,1120,0,0
714,14,1131,0,0
722,14,1142,0,0
730,14,1153,0,0
738,14,1167,0,0
746,17,1180,0,0
754,17,1195,0,0
762,17,1208,0,0
770,17,1220,0,0
778,18,1233,0,0
786,19,1246,0,0
794,20,1261,0,0
802,20,1274,0,0
810,20,1287,0,0
818,22,1299,0,0
826,22,1315,0,0
834,22,1337,0,0
842,23,1358,0,0
850,25,1377,0,0
858,27,1394,0,0
866,27,1406,0,0
874,27,1418,0,0
882,27,1431,0,0
890,27,1446,0,0
898,27,1461,0,0
906,27,1473,0,0
914,27,1486,0,0
922,27,1499,0,0
930,27,1513,0,0
938,27,1526,0,0
946,27,1538,0,0
954,27,1551,0,0
962,27,1562,0,0
970,28,1578,0,0
978,29,1591,0,0
986,29,1601,0,0
994,29,1612,0,0
1002,29,1623,0,0
1010,29,1634,0,0
1018,29,1646,0,0
1026,29,1657,0,0
1034,29,1669,0,0
1042,29,1682,0,0
1050,29,1694,0,0
1058,29,1707,0,0
1066,29,1718,0,0
1074,29,1731,0,0
1082,29,1743,0,0
1090,29,1755,0,0
1098,32,1768,0,0
1106,32,1781,0,0
1114,32,1793,0,0
1122,32,1806,0,0
1130,32,1818,0,0
1138,32,1831,0,0
1146,32,1842,0,0
1154,32,1853,0,0
1162,32,1865,0,0
1170,32,1878,0,0
1178,33,1891,0,0
1186,33,1904,0,0
1194,33,1917,0,0
1202,33,1930,0,0
1210,33,1943,0,0
1218,33,1957,0,0
1226,33,1970,0,0
1234,33,1983,0,0
1242,33,1997,0,0
1250,33,2010,0,0
1258,33,2023,0,0
1266,35,2036,0,0
1274,35,2047,0,0
1282,35,2061,0,0
1290,35,2075,0,0
1298,35,2089,0,0
1306,35,2102,0,0
1314,35,2116,0,0
1322,35,2129,0,0
1330,35,2143,0,0
1338,35,2157,0,0
1346,37,2171,0,0
1354,37,2182,0,0
1362,37,2196,0,0
1370,37,2208,0,0
1378,37,2221,0,0
1386,37,2233,0,0
1394,37,2245,0,0
1402,37,2255,0,0
1410,37,2266,0,0
1418,37,2276,0,0
1426,37,2287,0,0
1434,35,2296,0,0
1442,32,2308,0,0
1450,31,2320,0,0
1458,31,2332,0,0
1465,31,2341,0,0
1473,31,2341,0,0
1473,31,2352,0,0
1481,31,2352,0,0
1481,31,2366,0,0
1489,31,2366,0,0
1489,31,2378,0,0
1497,31,2378,0,0
1498,29,2388,0,0
1506,27,2401,0,0
1514,26,2412,0,0
1522,26,2426,0,0
1530,26,2438,0,0
1538,26,2449,0,0
1546,26,2460,0,0
1554,26,2471,0,0
1562,26,2482,0,0
1570,26,2494,0,0
1578,23,2507,0,0
1586,20,2521,0,0
1594,20,2533,0,0
1602,19,2547,0,0
1610,19,2560,0,0
1618,19,2571,0,0
1626,19,2582,0,0
1634,19,2596,0,0
1642,19,2611,0,0
1650,19,2623,0,0
1658,17,2636,0,0
1666,17,2648,0,0
1674,17,2663,0,0
1682,17,2678,0,0
1690,19,2692,0,0
1698,19,2707,0,0
1706,19,2720,0,0
1714,19,2733,0,0
1722,19,2748,0,0
1730,19,2762,0,0
1738,19,2776,0,0
1746,19,2789,0,0
1754,19,2803,0,0
1762,19,2817,0,0
1770,19,2831,0,0
1778,19,2845,0,0
1786,19,2859,0,0
1794,20,2873,0,0
1802,23,2885,0,0
1810,23,2899,0,0
1818,23,2911,0,0
1826,23,2922,0,0
1834,23,2933,0,0
1842,23,2944,0,0
1850,23,2956,0,0
1858,23,2966,0,0
1866,23,2978,0,0
1874,23,2990,0,0
1882,23,3001,0,0
1890,21,3013,0,0
1898,21,3026,0,0
1906,21,3038,0,0
1914,21,3048,0,0
1922,21,3061,0,0
1930,21,3073,0,0
1938,19,3086,0,0
1946,17,3101,0,0
1954,17,3113,0,0
1962,15,3126,0,0
1970,15,3137,0,0
