time_log,キャプチャ時間,書き出し処理時間,画像処理時間,モータ制御開始から終了,1ループ
0,14.4241,0.87513,0.214725,16.7527,31.9647
32,14.5674,0.500406,0.182261,16.3641,32.7638
64,14.3527,0.446145,0.175304,16.4271,32.1266
96,16.3603,0.353855,0.177159,16.6335,31.8813
130,14.2854,0.374724,0.179478,16.6465,33.9993
162,12.23,0.393275,0.186435,16.6618,31.9787
192,14.1867,0.416927,0.203594,16.569,29.9589
224,16.1799,0.377507,0.262493,16.614,31.9253
258,28.0436,0.368695,0.199884,16.8408,34.0039
304,14.0002,0.368232,0.187362,16.8538,45.9357
336,14.0809,0.356638,0.184116,16.8965,31.8646
368,13.9576,0.35942,0.178551,17.0124,32.0389
400,13.9056,0.464695,0.178551,16.9776,31.9708
432,14.7682,0.396985,0.178087,16.057,32.0315
464,14.4867,0.377507,0.185971,16.1595,32.1989
496,14.7288,0.377971,0.194319,17.171,31.7032
529,16.6321,0.384927,0.17484,16.313,32.9707
563,11.526,0.40858,0.183188,17.1696,34.0141
593,13.4845,0.420174,0.202203,17.2345,29.9585
625,30.49,0.381217,0.186898,17.5063,31.8748
674,12.3562,0.368695,0.179478,16.4888,49.0421
704,14.3828,0.375188,0.177623,16.4336,29.8875
736,14.4278,0.364522,0.18458,16.5709,31.866
768,16.2908,0.36684,0.179014,16.6604,32.0413
802,13.2582,0.454029,0.177623,16.6316,33.9511
833,14.1463,0.413217,0.182261,16.6521,31.002
864,14.2034,0.378435,0.190609,16.8867,31.8938
897,15.9304,0.352927,0.174377,16.8779,32.1461
930,14.0656,0.361739,0.185971,16.8909,33.7841
962,11.0238,0.434551,0.202203,16.8802,32.0018
991,30.8053,0.363594,0.176696,17.075,29.0518
1040,13.8569,0.364985,0.178087,16.9999,48.8835
1072,13.8894,0.352464,0.184116,17.1028,31.8785
1104,13.8472,0.339942,0.182725,17.1923,31.974
1136,14.6996,0.314435,0.172522,16.1572,32.0292
1168,14.8698,0.353391,0.182725,16.2138,31.7904
1200,13.6607,0.451246,0.177623,16.2342,32.0918
1231,15.6058,0.39884,0.176696,16.2231,30.969
1264,14.6379,0.398377,0.178087,16.3993,32.8747
1296,15.4588,0.367304,0.174377,16.4563,32.0904
1329,15.4555,0.361739,0.185971,16.4786,32.9034
1362,28.3896,0.360811,0.209623,16.5621,32.973
1408,14.2836,0.353391,0.183652,16.5101,46.0262
1440,14.3657,0.353391,0.17484,16.8009,31.7908
1472,14.1407,0.365449,0.185507,16.7212,32.1461
1504,14.2038,0.337159,0.173913,16.8969,31.8414
1536,15.1086,0.356174,0.191536,16.8454,32.038
1569,14.0976,0.382609,0.186898,16.7884,32.934
1601,16.0658,0.45542,0.181797,16.781,31.9443
1635,12.0269,0.412753,0.182725,16.8733,33.9464
1665,13.9205,0.375188,0.174377,16.07,29.9784
1696,15.7959,0.360811,0.177623,16.1257,31.0349
1728,29.7702,0.386782,0.191536,16.0798,32.9289
1775,14.7455,0.418782,0.318145,17.0912,46.9366
1808,13.606,0.37658,0.179942,16.2156,33.069
1839,14.6509,0.390956,0.175768,16.2783,30.8661
1871,14.6027,0.407188,0.182261,16.3858,31.9569
1903,15.469,0.398377,0.177623,16.3831,32.0334
1936,13.5179,0.43084,0.176232,16.3826,32.8765
1967,15.4495,0.416927,0.176696,16.4883,30.9732
2000,14.3643,0.452637,0.187826,16.4438,32.9975
2032,14.361,0.406261,0.181797,16.6052,31.9207
2064,14.2418,0.382145,0.183652,16.6766,32.0417
2096,32.1312,0.365913,0.175304,16.8223,31.949
2146,14.0619,0.377971,0.186435,16.8097,49.9872
2178,12.1071,0.382145,0.205913,16.7833,31.897
2208,14.0494,0.358956,0.232811,16.729,29.9896
2240,14.0823,0.356174,0.192464,17.0082,31.8632
2272,14.8814,0.361275,0.177159,16.87,32.1308
2305,13.9705,0.378435,0.186435,17.0796,32.7828
2337,13.8036,0.349217,0.183652,17.0634,32.1122
2369,13.8258,0.321855,0.172985,16.1772,31.8507
2400,14.8174,0.462377,0.182261,15.9494,30.9533
2432,30.8118,0.402087,0.17484,16.1823,31.8743
2480,15.6786,0.377971,0.177623,17.3384,48.0403
2514,15.5163,0.358029,0.177159,16.4178,34.0531
2547,13.4924,0.353855,0.176696,16.3738,32.9544
2578,12.5658,0.373333,0.226783,16.3232,30.8948
2607,14.4691,0.355246,0.185971,16.3849,29.9756
2639,14.4529,0.346435,0.179942,16.5259,31.9077
2671,15.4036,0.33484,0.185043,16.6808,31.9828
2704,14.259,0.377507,0.202667,16.5727,33.0518
2736,14.2748,0.329275,0.18458,16.7749,31.9077
2768,14.1287,0.314898,0.172985,16.8756,32.0255
