time[ms],x,y,arc,pos
0,0,0,0,0
3,-30,18,0,0
12,-55,35,0,0
19,-78,51,0,0
28,-98,66,0,0
36,-118,83,0,0
43,-144,99,0,0
52,-167,113,0,0
59,-185,125,0,0
67,-204,138,0,0
76,-225,151,0,0
83,-249,166,0,0
92,-272,183,0,0
100,-292,198,0,0
106,-313,215,0,0
115,-337,231,0,0
122,-360,250,0,0
131,-387,269,0,0
138,-417,288,0,0
146,-447,311,0,0
154,-470,335,0,0
163,-495,359,0,0
171,-518,381,0,0
178,-544,408,0,0
187,-565,431,0,0
194,-588,456,0,0
202,-610,481,0,0
211,-630,504,0,0
218,-650,529,0,0
227,-674,555,0,0
234,-695,578,0,0
242,-718,599,0,0
251,-742,625,0,0
259,-765,649,0,0
266,-790,669,0,0
275,-814,691,0,0
282,-837,714,0,0
291,-859,738,0,0
298,-878,760,0,0
307,-899,781,0,0
315,-922,803,0,0
323,-944,825,0,0
332,-964,849,0,0
339,-985,875,0,0
347,-1010,898,0,0
356,-1035,919,0,0
363,-1062,938,0,0
372,-1087,960,0,0
379,-1113,986,0,0
388,-1138,1014,0,0
395,-1163,1038,0,0
404,-1189,1064,0,0
412,-1215,1089,0,0
419,-1240,1113,0,0
428,-1267,1139,0,0
435,-1294,1165,0,0
444,-1322,1193,0,0
451,-1352,1220,0,0
460,-1377,1246,0,0
467,-1400,1273,0,0
474,-1424,1296,0,0
483,-1448,1321,0,0
490,-1475,1349,0,0
499,-1503,1373,0,0
506,-1528,1400,0,0
515,-1553,1425,0,0
522,-1577,1451,0,0
531,-1598,1478,0,0
538,-1622,1504,0,0
547,-1644,1526,0,0
554,-1667,1549,0,0
562,-1689,1571,0,0
571,-1709,1589,0,0
578,-1729,1609,0,0
587,-1752,1634,0,0
594,-1770,1658,0,0
603,-1793,1683,0,0
610,-1813,1706,0,0
619,-1833,1729,0,0
626,-1852,1755,0,0
635,-1870,1779,0,0
642,-1890,1801,0,0
651,-1914,1826,0,0
658,-1934,1851,0,0
666,-1954,1876,0,0
675,-1978,1900,0,0
682,-1997,1925,0,0
691,-2015,1958,0,0
699,-2039,1985,0,0
706,-2065,2008,0,0
715,-2092,2034,0,0
722,-2115,2063,0,0
730,-2140,2091,0,0
739,-2165,2119,0,0
748,-2193,2156,0,0
755,-2217,2200,0,0
764,-2240,2248,0,0
